simulation_id,final_value
187,5818789.810371862
188,4728255.8048547665
189,5108260.204180148
190,2747220.840592689
191,3726619.6793671334
192,1817859.2186382401
193,1953314.3760920232
194,2513847.9082378685
195,2362002.8457296127
196,1537861.0950450355
197,6355285.168663429
198,3080113.122492181
199,4644763.038015016
200,650457.7814252026
201,5090974.543758396
202,4261644.856895045
203,3676831.972625952
204,6152954.818211358
205,2018402.2924023971
206,1221370.7357886469
207,1958840.478275745
208,3978403.885935646
209,3757750.544002614
210,1756259.5687224101
211,2811832.648461702
212,3222165.3124069977
213,706424.9724084197
214,2272276.5590509675
215,2567814.7326727672
216,2665403.9195455047
217,1969952.5239351657
218,2728377.199262633
219,3823007.5440468984
220,1265864.1259827225
221,1393949.7478003334
222,2081432.1633282693
223,4872864.521461724
224,1782470.4712568414
225,2785195.0273167365
226,2484489.674643862
227,1632523.5097149098
228,1424093.065316495
229,2705105.1028773854
230,3662844.2616947093
231,4657265.633995781
232,3251938.3584845727
233,3618717.970440933
234,3653550.1883690725
235,5654217.691301603
236,3527557.6771725425
237,6465760.020156395
238,1284091.9003069722
239,3080910.9906081026
240,2180601.9345584544
241,2434115.704727434
242,6445726.209237776
243,6802686.190438346
244,926870.9753097317
245,995145.6243184342
246,3937861.4106928776
247,3068775.5118674356
248,1575702.2885719882
249,1523317.1450985547
250,3434033.5857937443
251,7557761.982312306
252,3216274.277653436
253,4739002.254144813
254,3743495.784252564
255,4609015.1277389405
256,4211625.365911552
257,2211410.255397153
258,3011466.198962077
259,853506.9392799889
260,1916012.906824893
261,5813382.113458017
262,2486532.553871054
263,3598280.349441654
264,2308321.858652656
265,2700760.126182684
266,1447208.2512644276
267,3044725.1049596556
268,4657381.246756428
269,1664894.1257614987
270,8701767.838973003
271,11685246.620192261
272,1196246.77129167
273,3384249.4193583187
274,1000138.9028483928
275,1532588.5296235015
276,2260509.0237508165
277,3777423.0862169
278,1771515.944195787
279,2210150.9673524452
280,2301571.863048638
281,2532213.8071020287
282,1395518.5018669171
283,1147611.6457933048
284,3739693.071257295
285,8813517.643252948
286,1620097.004521573
287,1407992.8512739684
288,1775555.1737486394
289,2000870.753147118
290,4747618.267136091
291,1012036.2490259488
292,3820995.628373347
293,6094643.8487025555
294,7224392.331675046
295,1050351.1047385861
296,9345416.730368491
297,648603.9883623319
298,5121361.264529348
299,35001498.61433353
300,2191098.922371891
301,4141166.4182065334
302,2122626.904922048
303,1204471.158933186
304,5010173.336708368
305,897995.8742438572
306,3802795.100966633
307,7846565.99676081
308,4793265.012018302
309,1560417.6434927683
310,2225710.620716714
311,507683.147282148
312,4650469.8354021115
313,1501011.174653272
314,1519523.927791917
315,1967593.8817904538
316,2683099.189323797
317,5689289.843706417
318,2203120.013351325
319,5006842.341329082
320,7681284.504092917
321,1166849.5575587063
322,2158473.9133190433
323,3492806.154037332
324,3244862.853374692
325,3948594.022918634
326,2167292.236436937
327,871017.4173765929
328,7477061.019914688
329,1925464.0254520935
330,2730626.4305530693
331,1990502.2798709245
332,3972410.3422822407
333,1997752.4802360127
334,5155614.747929202
335,1041283.1529774698
336,4362403.547747466
337,3959226.931261012
338,3656836.030690443
339,1150524.2087871141
340,1975180.813128066
341,1778884.2220130048
342,369959.0332476223
343,2574641.081782129
344,4653263.365743839
345,3790193.466004111
346,1113007.7183548233
347,2699474.9168847166
348,2484264.067113486
349,1497064.682985094
350,2652948.128783044
351,2310391.441834977
352,4106983.419867792
353,2008045.0248116364
354,2604240.675550915
355,3645026.795151447
356,2223496.341161841
357,5413822.967886464
358,4450062.089532578
359,4825565.972700034
360,3087584.11448034
361,3098777.2627730346
362,1245130.0405855828
363,3613320.918354104
364,7046452.298087038
365,2959117.577329018
366,3108697.993435048
367,1676556.4331987824
368,3700037.06463663
369,945847.5460860985
370,2135452.5391789614
371,2951932.358772489
372,4237092.232741148
373,3195455.828049538
374,2795907.4732928253
375,1833127.068748933
376,908866.2434584654
377,4083769.8918030364
378,4913844.170277189
379,1946238.617499275
380,2529037.503330211
381,4266965.981424733
382,794125.6325243453
383,2140908.0957853263
384,5360533.366521401
385,1231834.467140757
386,3357490.4649137887
387,1864689.9231371742
388,1825124.369625625
389,2429710.9516774504
390,1382201.5945242536
391,2031501.432960084
392,717921.484519489
393,2889391.4421109213
394,968200.3710439295
395,4319998.134049377
396,2220491.7051610504
397,5174007.635456664
398,1212105.568579489
399,2238315.022633256
400,9012369.914041065
401,928437.8498155094
402,4244723.1172610605
403,3258382.921609497
404,4674322.453128135
405,1155037.5626425222
406,1614256.7722363428
407,4715490.996050346
408,3628193.4174561184
409,3504779.0841679145
410,2045104.7659955071
411,2983008.0305677825
412,1664393.947284934
413,1894555.6098473435
414,1581057.05476254
415,4916116.617359869
416,2228505.0624301066
417,2644951.2808884243
418,3584284.3029256463
419,3528213.1893079616
420,1685694.4509918566
421,6264557.280036845
422,2351525.8222743818
423,1767912.9712620538
424,511346.27357787173
425,2394319.361547458
426,1073193.9779283449
427,1407133.6888833477
428,5091623.722301944
429,3089492.0184907326
430,3404832.606782185
431,1052982.375164169
432,1291709.7041226446
433,2961112.633710216
434,895932.3092390118
435,3016461.188694302
436,1238444.5320010025
437,4056702.179374615
438,3981258.1579089724
439,8302638.364236428
440,3833007.215145417
441,1507758.6379052945
442,2388409.4790239986
443,2488903.3465593355
444,4039021.9654907156
445,3016715.816166847
446,4825644.4536533635
447,1375627.4410780305
448,2611184.063717457
449,1224297.245429589
450,1921587.5150929405
451,2003392.0817800495
452,2002646.7360432579
453,1752886.6239878666
454,1715822.7234217504
455,3212051.60924443
456,7930408.27970952
457,4088170.3517551874
458,2775133.6419049725
459,2269651.461247641
460,4095594.59671518
461,3155876.4967291197
462,3832700.1550677996
463,2665179.086166528
464,6548823.508614925
465,1507352.9473955685
466,1087539.0129359975
467,3370884.3978094356
468,1405531.0928344887
469,6399334.971558203
470,1812477.390520819
471,3650607.48001279
472,5442098.721934437
473,1948644.3901774394
474,2296352.916258307
475,7312511.7841351265
476,3113238.3064666227
477,1516018.953816848
478,3390254.2400921383
479,1769775.9088455886
480,3720019.1367579824
481,1910440.5455453107
482,4662889.808527822
483,5023036.878912268
484,4165867.735262222
485,4124740.6127645094
486,1282269.1154166413
487,2385324.347419984
488,4240271.2203873955
489,1706542.029645377
490,1027380.9364994781
491,5606270.925066656
492,3387232.2902451926
493,1873346.8377837834
494,3487921.64375787
495,3774120.4911355367
496,1860351.6204848944
497,5190627.534106751
498,8339060.041965378
499,1240714.2731688968
500,5545365.2138727885
501,2291682.010726033
502,2494727.9052581065
503,729771.9627436623
504,6444265.954559054
505,3819986.047879277
506,6823978.100589059
507,1528890.6365792146
508,1568231.0167999135
509,2079491.6363910004
510,1498518.6342608854
511,3292341.486908793
512,1967395.775161067
513,2826195.7216553623
514,3485649.4216657905
515,1994463.02798595
516,7977076.53000244
517,3691258.803444134
518,1325721.2586996786
519,4900669.07839534
520,3190704.523883914
521,2307265.722664552
522,2349904.0561412056
523,1588410.4126634642
524,4492408.000275884
525,1626404.6885728275
526,1161537.5241166262
527,4251439.284577613
528,3247857.7613730216
529,7887047.404988583
530,1480691.6250503238
531,6087565.955704459
532,6164429.107660681
533,1473609.7499825452
534,5471605.985739804
535,2741895.9448441844
536,2191360.89156389
537,6101503.971294838
538,2927216.4049789486
539,3801709.788106098
540,4315457.096636204
541,9631522.277351256
542,541859.1645966386
543,1567732.2878752174
544,2237989.5893140226
545,1927699.9714123209
546,7384003.582684729
547,3415379.109845188
548,2702683.376039432
549,4246201.965571496
550,1874801.4981506614
